Augmented_Smiles,Augmented_Selfies
c1(CN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3cccc(N)c3)C2=O)cccc(N)c1,[C][Branch2][Branch1][#Branch1][C][N][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][Ring2][Ring1][#C][=O][=C][C][=C][C][Branch1][C][N][=C][Ring2][Ring2][Branch2]
c1(C[C@@H]2[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(Cc3cc(N)ccc3)C(=O)N2Cc2cc(N)ccc2)ccccc1,[C][Branch2][Branch1][#Branch2][C][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=N][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][=Branch2][C][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][=C][C][=C][C][=C][Ring2][Ring2][Branch2]
S(C)(c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1)(=O)=O,[S][Branch1][C][C][Branch2][Ring1][P][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][N][C][=C][Ring2][Ring1][C][=Branch1][C][=O][=O]
C1(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)COC1=O,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][O][C][Ring2][Ring1][Branch1][=O]
c1cc(C2=C(c3ccccc3)C(=O)OC2)ccc1S(C)(=O)=O,[C][=C][C][Branch2][Ring1][Branch1][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][N][=C][C][=C][Ring2][Ring1][C][S][Branch1][C][C][=Branch1][C][=O][=O]
C1(=O)OCC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,[C][=Branch1][C][=O][O][C][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][=C][Ring1][S][C][=C][C][=C][C][=C][Ring1][=Branch1]
O=S(c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1)(C)=O,[O][=S][Branch2][Ring1][P][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][N][C][=C][Ring2][Ring1][C][Branch1][C][C][=O]
C1(=O)C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)CO1,[C][=Branch1][C][=O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][O][Ring2][Ring1][=Branch1]
c1ccccc1C1=C(c2ccc(S(C)(=O)=O)cc2)COC1=O,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][O][C][Ring1][#C][=O]
c1c(C2=C(c3ccccc3)C(=O)OC2)ccc(S(=O)(=O)C)c1,[C][=C][Branch2][Ring1][Branch1][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][N][C][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][Ring2][Ring1][=Branch1]
