Augmented_Smiles,Augmented_Selfies,selfies_length
c1(C[C@@H](C(=O)N[C@H](C(NCCOC)=O)C(C)C)C[C@@H]([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)O)c(OC)c(OC)c(OC)cc1,[C][Branch2][Branch1][N][C][C@@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][Branch1][=Branch1][N][C][C][O][C][=O][C][Branch1][C][C][C][C][C@@H1][Branch2][Ring1][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][O][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring2][Ring2][#C],83
COc1c(OC)c(OC)ccc1C[C@@H](C(N[C@@H](C(C)C)C(NCCOC)=O)=O)C[C@@H]([C@@H](NC(OC(C)(C)C)=O)Cc1ccccc1)O,[C][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][#Branch2][C][C@@H1][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][=Branch1][N][C][C][O][C][=O][=O][C][C@@H1][Branch2][Ring1][O][C@@H1][Branch1][#C][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],78
c1cc(OC)c(OC)c(OC)c1C[C@H](C[C@H](O)[C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@H](C(=O)NCCOC)C(C)C,[C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][C][C@H1][Branch2][Ring1][S][C][C@H1][Branch1][C][O][C@@H1][Branch1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][=Branch1][C][=O][N][C][C][O][C][C][Branch1][C][C][C],78
c1cc(OC)c(OC)c(OC)c1C[C@H](C[C@H](O)[C@@H](NC(OC(C)(C)C)=O)Cc1ccccc1)C(=O)N[C@H](C(NCCOC)=O)C(C)C,[C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][C][C@H1][Branch2][Ring1][S][C][C@H1][Branch1][C][O][C@@H1][Branch1][#C][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][Branch1][=Branch1][N][C][C][O][C][=O][C][Branch1][C][C][C],78
O(C)c1ccc(C[C@@H](C(N[C@@H](C(C)C)C(NCCOC)=O)=O)C[C@@H]([C@H](Cc2ccccc2)NC(OC(C)(C)C)=O)O)c(OC)c1OC,[O][Branch1][C][C][C][=C][C][=C][Branch2][Branch1][=N][C][C@@H1][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][=Branch1][N][C][C][O][C][=O][=O][C][C@@H1][Branch2][Ring1][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][O][C][Branch1][Ring1][O][C][=C][Ring2][Ring2][O][O][C],82
O(c1c(OC)ccc(C[C@@H](C(=O)N[C@H](C(=O)NCCOC)C(C)C)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)c1OC)C,[O][Branch2][=Branch1][=N][C][=C][Branch1][Ring1][O][C][C][=C][C][Branch2][Branch1][O][C][C@@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][=Branch1][C][=O][N][C][C][O][C][C][Branch1][C][C][C][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][=C][Ring2][Ring2][O][O][C][C],81
c1(OC)c(OC)c(C[C@@H](C(=O)N[C@H](C(NCCOC)=O)C(C)C)C[C@H](O)[C@H](Cc2ccccc2)NC(OC(C)(C)C)=O)ccc1OC,[C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch2][Branch1][O][C][C@@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][Branch1][=Branch1][N][C][C][O][C][=O][C][Branch1][C][C][C][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][=C][C][=C][Ring2][Ring2][=N][O][C],80
[C@@H](NC(=O)[C@@H](C[C@H](O)[C@H](Cc1ccccc1)NC(OC(C)(C)C)=O)Cc1c(OC)c(OC)c(OC)cc1)(C(=O)NCCOC)C(C)C,[C@@H1][Branch2][Branch1][=C][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][S][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Branch1][#Branch2][C][=Branch1][C][=O][N][C][C][O][C][C][Branch1][C][C][C],81
C(c1c(OC)c(OC)c(OC)cc1)[C@@H](C(N[C@H](C(NCCOC)=O)C(C)C)=O)C[C@@H]([C@@H](NC(OC(C)(C)C)=O)Cc1ccccc1)O,[C][Branch2][Ring1][Branch1][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C@@H1][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][N][C@H1][Branch1][#Branch2][C][Branch1][=Branch1][N][C][C][O][C][=O][C][Branch1][C][C][C][=O][C][C@@H1][Branch2][Ring1][O][C@@H1][Branch1][#C][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],83
COc1c(OC)c(OC)c(C[C@H](C[C@@H]([C@@H](NC(OC(C)(C)C)=O)Cc2ccccc2)O)C(N[C@H](C(=O)NCCOC)C(C)C)=O)cc1,[C][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Branch2][Branch1][=N][C][C@H1][Branch2][Ring1][P][C][C@@H1][Branch2][Ring1][O][C@@H1][Branch1][#C][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch2][Ring1][Ring1][N][C@H1][Branch1][#Branch2][C][=Branch1][C][=O][N][C][C][O][C][C][Branch1][C][C][C][=O][C][=C][Ring2][Ring2][=N],82
c1(OC)c(OC)c(C[C@@H](C(=O)N[C@H](C(=O)NCCOC)C(C)C)C[C@H](O)[C@H](Cc2ccccc2)NC(OC(C)(C)C)=O)ccc1OC,[C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch2][Branch1][O][C][C@@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][=Branch1][C][=O][N][C][C][O][C][C][Branch1][C][C][C][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][=C][C][=C][Ring2][Ring2][=N][O][C],80
O(C)CCNC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc1ccc(OC)c(OC)c1OC)C[C@H](O)[C@@H](NC(OC(C)(C)C)=O)Cc1ccccc1,[O][Branch1][C][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][O][C][C][C@H1][Branch1][C][O][C@@H1][Branch1][#C][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],78
CC([C@H](NC([C@@H](C[C@@H]([C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)O)Cc1ccc(OC)c(OC)c1OC)=O)C(NCCOC)=O)C,[C][C][Branch2][=Branch1][O][C@H1][Branch2][Branch1][=C][N][C][Branch2][Branch1][Branch2][C@@H1][Branch2][Ring1][P][C][C@@H1][Branch2][Ring1][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][O][C][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][O][C][=O][C][Branch1][=Branch1][N][C][C][O][C][=O][C],80
N(C([C@H](C(C)C)NC(=O)[C@H](Cc1ccc(OC)c(OC)c1OC)C[C@H](O)[C@H](Cc1ccccc1)NC(OC(C)(C)C)=O)=O)CCOC,[N][Branch2][=Branch1][=Branch2][C][Branch2][=Branch1][Ring2][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][O][C][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][=O][C][C][O][C],80
O[C@@H](C[C@@H](Cc1c(OC)c(OC)c(OC)cc1)C(=O)N[C@H](C(=O)NCCOC)C(C)C)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,[O][C@@H1][Branch2][Ring2][P][C][C@@H1][Branch2][Ring1][=Branch1][C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][=Branch1][C][=O][N][C][C][O][C][C][Branch1][C][C][C][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],79
O(c1c(OC)c(OC)ccc1C[C@@H](C(=O)N[C@H](C(=O)NCCOC)C(C)C)C[C@@H]([C@H](Cc1ccccc1)NC(OC(C)(C)C)=O)O)C,[O][Branch2][=Branch1][N][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][#Branch2][C][C@@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][=Branch1][C][=O][N][C][C][O][C][C][Branch1][C][C][C][C][C@@H1][Branch2][Ring1][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][O][C],80
O(C)c1c(OC)c(C[C@H](C[C@H](O)[C@@H](NC(=O)OC(C)(C)C)Cc2ccccc2)C(N[C@@H](C(C)C)C(NCCOC)=O)=O)ccc1OC,[O][Branch1][C][C][C][=C][Branch1][Ring1][O][C][C][Branch2][Branch1][N][C][C@H1][Branch2][Ring1][S][C][C@H1][Branch1][C][O][C@@H1][Branch1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][Ring1][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][=Branch1][N][C][C][O][C][=O][=O][=C][C][=C][Ring2][Ring2][O][O][C],81
[C@@H](Cc1c(OC)c(OC)c(OC)cc1)(C[C@H](O)[C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1)C(N[C@@H](C(C)C)C(=O)NCCOC)=O,[C@@H1][Branch2][Ring1][=Branch1][C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Branch2][Ring1][S][C][C@H1][Branch1][C][O][C@@H1][Branch1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring1][Ring1][N][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][O][C][=O],82
N([C@H](C(NCCOC)=O)C(C)C)C([C@@H](C[C@@H]([C@@H](NC(OC(C)(C)C)=O)Cc1ccccc1)O)Cc1ccc(OC)c(OC)c1OC)=O,[N][Branch2][Ring1][C][C@H1][Branch1][#Branch2][C][Branch1][=Branch1][N][C][C][O][C][=O][C][Branch1][C][C][C][C][Branch2][Branch1][Branch2][C@@H1][Branch2][Ring1][P][C][C@@H1][Branch2][Ring1][O][C@@H1][Branch1][#C][N][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][O][C][=O],81
O=C(NCCOC)[C@H](C(C)C)NC(=O)[C@@H](C[C@@H]([C@@H](NC(=O)OC(C)(C)C)Cc1ccccc1)O)Cc1ccc(OC)c(OC)c1OC,[O][=C][Branch1][=Branch1][N][C][C][O][C][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@@H1][Branch2][Ring1][P][C][C@@H1][Branch2][Ring1][O][C@@H1][Branch1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][O][C],77
[C@H]1(OC(=O)N[C@@H](Cc2ccccc2)[C@H](OP(O)(=O)O)CN(S(=O)(=O)c2ccc(N)cc2)CC(C)C)CCOC1,[C@H1][Branch2][Branch1][N][O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][C][N][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][C][Branch1][C][C][C][C][C][O][C][Ring2][Ring2][#Branch1],70
c1cc(C[C@H](NC(=O)O[C@@H]2COCC2)[C@@H](CN(S(c2ccc(N)cc2)(=O)=O)CC(C)C)OP(O)(O)=O)ccc1,[C][=C][C][Branch2][Branch1][N][C][C@H1][Branch1][=C][N][C][=Branch1][C][=O][O][C@@H1][C][O][C][C][Ring1][Branch1][C@@H1][Branch2][Ring1][=C][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][O][P][Branch1][C][O][Branch1][C][O][=O][=C][C][=C][Ring2][Ring2][#Branch1],71
O1C[C@@H](OC(=O)N[C@H]([C@H](OP(O)(O)=O)CN(S(c2ccc(N)cc2)(=O)=O)CC(C)C)Cc2ccccc2)CC1,[O][C][C@@H1][Branch2][Branch1][=N][O][C][=Branch1][C][=O][N][C@H1][Branch2][Ring2][#Branch2][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][Branch1][C][O][=O][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring2][#Branch1],71
c1ccc(C[C@H](NC(=O)O[C@H]2CCOC2)[C@H](OP(O)(=O)O)CN(CC(C)C)S(=O)(c2ccc(N)cc2)=O)cc1,[C][=C][C][=C][Branch2][Branch1][#Branch2][C][C@H1][Branch1][=C][N][C][=Branch1][C][=O][O][C@H1][C][C][O][C][Ring1][Branch1][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][C][N][Branch1][#Branch1][C][C][Branch1][C][C][C][S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=O][C][=C][Ring2][Ring2][#Branch1],69
c1(S(=O)(=O)N(C[C@@H](OP(O)(=O)O)[C@H](Cc2ccccc2)NC(O[C@@H]2COCC2)=O)CC(C)C)ccc(N)cc1,[C][Branch2][Branch1][Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][#Branch1][C][C@@H1][Branch1][#Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][=Branch2][O][C@@H1][C][O][C][C][Ring1][Branch1][=O][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][N][C][=C][Ring2][Ring2][#Branch1],70
N(CC(C)C)(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1COCC1)=O)OP(O)(O)=O)S(c1ccc(N)cc1)(=O)=O,[N][Branch1][#Branch1][C][C][Branch1][C][C][C][Branch2][Ring2][Branch2][C][C@H1][Branch2][Ring1][#Branch2][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][=Branch2][O][C@@H1][C][O][C][C][Ring1][Branch1][=O][O][P][Branch1][C][O][Branch1][C][O][=O][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O],69
O(C(N[C@H]([C@H](OP(O)(=O)O)CN(S(=O)(c1ccc(N)cc1)=O)CC(C)C)Cc1ccccc1)=O)[C@@H]1COCC1,[O][Branch2][Branch1][=N][C][Branch2][Branch1][Branch2][N][C@H1][Branch2][Ring2][#Branch2][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][C][N][Branch2][Ring1][Ring1][S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=O][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][C@@H1][C][O][C][C][Ring1][Branch1],71
c1ccccc1C[C@@H]([C@@H](CN(S(c1ccc(N)cc1)(=O)=O)CC(C)C)OP(O)(=O)O)NC(O[C@H]1CCOC1)=O,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch2][Ring2][O][C@@H1][Branch2][Ring1][=C][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][O][P][Branch1][C][O][=Branch1][C][=O][O][N][C][Branch1][=Branch2][O][C@H1][C][C][O][C][Ring1][Branch1][=O],68
C(c1ccccc1)[C@H](NC(O[C@H]1CCOC1)=O)[C@H](OP(=O)(O)O)CN(CC(C)C)S(c1ccc(N)cc1)(=O)=O,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][=C][N][C][Branch1][=Branch2][O][C@H1][C][C][O][C][Ring1][Branch1][=O][C@H1][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][N][Branch1][#Branch1][C][C][Branch1][C][C][C][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O],67
O(P(=O)(O)O)[C@H](CN(S(c1ccc(N)cc1)(=O)=O)CC(C)C)[C@H](Cc1ccccc1)NC(O[C@@H]1COCC1)=O,[O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][Branch2][Ring1][=C][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][=Branch2][O][C@@H1][C][O][C][C][Ring1][Branch1][=O],69
c1cc(C[C@@H]([C@H](OP(O)(=O)O)CN(S(c2ccc(N)cc2)(=O)=O)CC(C)C)NC(O[C@H]2CCOC2)=O)ccc1,[C][=C][C][Branch2][Branch1][N][C][C@@H1][Branch2][Ring2][#Branch2][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][N][C][Branch1][=Branch2][O][C@H1][C][C][O][C][Ring1][Branch1][=O][=C][C][=C][Ring2][Ring2][#Branch1],71
c1ccccc1C[C@@H]([C@@H](CN(CC(C)C)S(c1ccc(N)cc1)(=O)=O)OP(O)(=O)O)NC(=O)O[C@@H]1COCC1,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch2][Ring2][#Branch2][C@@H1][Branch2][Ring1][=N][C][N][Branch1][#Branch1][C][C][Branch1][C][C][C][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][N][C][=Branch1][C][=O][O][C@@H1][C][O][C][C][Ring1][Branch1],67
O([C@@H]1COCC1)C(=O)N[C@H]([C@H](OP(O)(=O)O)CN(S(c1ccc(N)cc1)(=O)=O)CC(C)C)Cc1ccccc1,[O][Branch1][Branch2][C@@H1][C][O][C][C][Ring1][Branch1][C][=Branch1][C][=O][N][C@H1][Branch2][Ring2][#Branch2][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],69
CC(CN(S(=O)(c1ccc(N)cc1)=O)C[C@H]([C@@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1)OP(=O)(O)O)C,[C][C][Branch2][Branch1][#C][C][N][Branch2][Ring1][Ring1][S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=O][C][C@H1][Branch2][Ring1][#Branch2][C@@H1][Branch1][=C][N][C][=Branch1][C][=O][O][C@H1][C][C][O][C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][P][=Branch1][C][=O][Branch1][C][O][O][C],68
[C@H](Cc1ccccc1)([C@H](OP(O)(=O)O)CN(CC(C)C)S(=O)(c1ccc(N)cc1)=O)NC(O[C@@H]1COCC1)=O,[C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch2][Ring2][=Branch2][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][C][N][Branch1][#Branch1][C][C][Branch1][C][C][C][S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=O][N][C][Branch1][=Branch2][O][C@@H1][C][O][C][C][Ring1][Branch1][=O],68
c1cc(S(N(CC(C)C)C[C@H]([C@@H](NC(O[C@@H]2COCC2)=O)Cc2ccccc2)OP(O)(O)=O)(=O)=O)ccc1N,[C][=C][C][Branch2][Branch1][=Branch2][S][Branch2][Ring2][P][N][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C@H1][Branch2][Ring1][#Branch2][C@@H1][Branch1][=C][N][C][Branch1][=Branch2][O][C@@H1][C][O][C][C][Ring1][Branch1][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][P][Branch1][C][O][Branch1][C][O][=O][=Branch1][C][=O][=O][=C][C][=C][Ring2][Ring2][=Branch1][N],69
OP(O[C@H](CN(S(c1ccc(N)cc1)(=O)=O)CC(C)C)[C@@H](NC(O[C@@H]1COCC1)=O)Cc1ccccc1)(=O)O,[O][P][Branch2][Branch1][N][O][C@H1][Branch2][Ring1][=C][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][C@@H1][Branch1][=C][N][C][Branch1][=Branch2][O][C@@H1][C][O][C][C][Ring1][Branch1][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=Branch1][C][=O][O],68
O=P(O[C@H](CN(S(=O)(=O)c1ccc(N)cc1)CC(C)C)[C@@H](NC(=O)O[C@@H]1COCC1)Cc1ccccc1)(O)O,[O][=P][Branch2][Branch1][N][O][C@H1][Branch2][Ring1][=C][C][N][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][C][Branch1][C][C][C][C@@H1][Branch1][=C][N][C][=Branch1][C][=O][O][C@@H1][C][O][C][C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][C][O][O],68
OP(=O)(O[C@@H]([C@@H](NC(O[C@H]1CCOC1)=O)Cc1ccccc1)CN(S(c1ccc(N)cc1)(=O)=O)CC(C)C)O,[O][P][=Branch1][C][=O][Branch2][Branch1][N][O][C@@H1][Branch2][Ring1][#Branch2][C@@H1][Branch1][=C][N][C][Branch1][=Branch2][O][C@H1][C][C][O][C][Ring1][Branch1][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Branch2][Ring1][Ring1][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][C][C][Branch1][C][C][C][O],68
N(C(O[C@@H]1COCC1)=O)[C@@H](Cc1ccccc1)[C@H](OP(O)(O)=O)CN(S(=O)(=O)c1ccc(N)cc1)CC(C)C,[N][Branch1][=N][C][Branch1][=Branch2][O][C@@H1][C][O][C][C][Ring1][Branch1][=O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][#Branch2][O][P][Branch1][C][O][Branch1][C][O][=O][C][N][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][C][Branch1][C][C][C],68
OP(O[C@@H]([C@@H](NC(=O)O[C@@H]1COCC1)Cc1ccccc1)CN(S(=O)(c1ccc(N)cc1)=O)CC(C)C)(=O)O,[O][P][Branch2][Branch1][N][O][C@@H1][Branch2][Ring1][#Branch2][C@@H1][Branch1][=C][N][C][=Branch1][C][=O][O][C@@H1][C][O][C][C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Branch2][Ring1][Ring1][S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=O][C][C][Branch1][C][C][C][=Branch1][C][=O][O],68
